Shipment_ID,Region,Vehicle_Type,Weather,Traffic_Level,Priority,Distance_km,Shipment_Volume,Delivery_Time_min,Shipping_Cost,Customer_Rating,On_Time_Delivery
S0066,South,Bike,Clear,Medium,Standard,32.9,68,99.7,395.92,4.3,No
S0067,South,Bike,Rainy,Low,Standard,3.3,45,38.3,156.53,4.9,Yes
S0068,North,Bike,Rainy,High,Express,6.0,60,67.4,216.18,4.8,Yes
S0069,North,Bike,Clear,Low,Standard,16.9,12,56.1,209.43,4.8,Yes
S0070,South,Bike,Clear,High,Standard,32.8,32,123.6,377.73,3.5,No
S0071,East,Bike,Clear,High,Express,12.4,13,58.3,168.77,5.0,Yes
S0072,North,Truck,Clear,Low,Express,18.7,31,58.9,315.5,4.8,Yes
S0073,East,Bike,Clear,Low,Express,3.4,78,25.6,178.66,5.0,Yes
S0074,South,Van,Cloudy,High,Express,6.9,20,51.8,158.29,5.0,Yes
S0075,South,Van,Clear,Medium,Standard,34.6,18,80.6,442.76,4.4,No
S0076,West,Truck,Clear,Medium,Standard,33.8,60,104.9,493.69,4.2,No
S0077,North,Bike,Rainy,High,Standard,2.2,63,67.9,136.81,4.7,Yes
S0078,South,Van,Clear,Low,Standard,33.4,6,93.6,372.65,4.7,No
S0079,West,Truck,Rainy,Medium,Standard,23.1,32,98.0,384.51,4.0,No
S0080,North,Truck,Clear,Low,Standard,30.6,43,81.6,472.95,4.5,No
S0081,South,Truck,Clear,High,Express,17.0,2,81.5,274.02,4.5,No
S0082,South,Bike,Cloudy,Medium,Standard,19.0,60,71.9,321.91,4.9,Yes
S0083,North,Bike,Cloudy,Medium,Standard,18.1,23,76.5,268.0,4.9,No
S0084,North,Van,Rainy,Low,Standard,24.0,31,81.3,312.89,3.8,No
S0085,North,Truck,Cloudy,Medium,Standard,6.6,5,46.0,167.92,5.0,Yes
S0086,South,Van,Rainy,Medium,Standard,3.0,34,40.1,143.31,5.0,Yes
S0087,South,Van,Clear,Medium,Express,12.2,10,51.1,190.28,4.7,Yes
S0088,West,Bike,Clear,Medium,Standard,25.3,2,83.6,279.67,,No
S0089,East,Van,Cloudy,High,Standard,8.7,11,57.4,179.96,5.0,Yes
S0090,North,Bike,Rainy,Medium,Standard,24.2,50,88.4,338.37,4.4,No
S0091,South,Bike,Rainy,Low,Express,34.0,31,98.3,336.41,4.3,No
S0092,South,Van,Clear,Medium,Standard,5.1,56,49.7,207.74,4.6,Yes
S0093,North,Van,Clear,High,Standard,24.2,79,88.1,379.09,4.2,No
S0094,East,Bike,Cloudy,Medium,Standard,16.6,73,70.8,332.62,5.0,Yes
S0095,North,Bike,Clear,High,Standard,30.6,9,110.0,337.71,4.5,No
S0096,East,Van,Rainy,Medium,Express,7.8,21,43.5,195.79,4.8,Yes
S0097,South,Bike,Rainy,Medium,Express,24.9,73,79.0,355.86,5.0,No
S0098,East,Van,Clear,Medium,Standard,29.7,28,83.2,397.64,3.8,No
S0099,West,Bike,Cloudy,Low,Express,33.2,62,92.4,417.13,4.2,No
S0100,South,Van,Cloudy,Low,Express,24.5,7,69.1,264.31,5.0,Yes
S0101,West,Van,Clear,Low,Standard,18.4,16,61.6,236.71,4.9,Yes
S0102,North,Bike,Rainy,Medium,Express,22.4,4,86.7,222.8,4.0,No
S0103,North,Bike,Clear,Medium,Standard,30.7,4,95.7,298.79,4.4,No
S0104,North,Bike,Rainy,Medium,Standard,20.8,40,83.5,280.17,4.4,No
S0105,East,Bike,Clear,High,Standard,3.0,17,57.5,,5.0,Yes
S0106,South,Truck,Rainy,Low,Express,32.7,52,94.2,504.47,4.4,No
S0107,North,Bike,Clear,Medium,Standard,24.8,52,76.3,333.99,4.9,No
S0108,North,Truck,Clear,High,Express,24.3,36,98.0,369.92,3.9,No
S0109,South,Bike,Rainy,Low,Express,9.1,38,38.8,208.41,4.8,Yes
S0110,North,Van,Clear,Low,Standard,23.7,50,84.7,335.93,4.3,No
S0111,West,Van,,Low,Express,15.0,63,45.1,280.82,5.0,Yes
S0112,South,Van,Rainy,Low,Standard,23.5,63,81.8,406.85,4.3,No
S0113,South,Van,Rainy,High,Standard,5.5,62,58.9,273.43,5.0,Yes
S0114,South,Van,Cloudy,High,Express,23.7,7,87.6,272.96,4.2,No
S0115,West,Bike,Cloudy,Medium,Standard,35.0,27,106.5,372.68,4.3,No
S0116,South,Truck,Clear,High,Express,3.6,14,46.8,156.07,5.0,Yes
S0117,West,Truck,Clear,High,Express,34.2,71,119.3,526.51,3.6,No
S0118,South,Truck,Clear,Low,Standard,15.4,5,54.2,247.69,4.7,Yes
S0119,East,Bike,Cloudy,High,Standard,30.7,55,120.6,387.56,3.4,No
S0120,North,Van,Cloudy,Medium,Standard,27.8,2,109.0,314.19,4.5,No
S0121,East,Truck,Cloudy,High,Standard,20.7,62,93.4,380.24,4.6,No
S0122,North,Bike,Cloudy,High,Express,26.4,21,100.5,286.76,4.6,No
S0123,West,Bike,Clear,Medium,Standard,31.0,79,99.8,399.12,4.4,No
S0124,East,Van,Clear,Low,Standard,15.3,21,62.8,233.1,4.7,Yes
S0125,South,Van,Clear,Low,Standard,12.8,10,44.3,198.53,5.0,Yes
S0126,North,Truck,Clear,Medium,Standard,24.0,58,79.6,425.98,5.0,No
S0127,North,Bike,Clear,High,Express,28.7,39,91.4,349.59,4.5,No
S0128,East,Van,Rainy,High,Standard,27.2,5,109.7,324.68,4.2,No
S0129,West,Bike,Clear,Low,Express,28.3,65,73.3,357.61,5.0,Yes
S0130,East,Bike,Clear,Medium,Standard,16.4,13,80.5,169.87,4.0,No
S0131,West,Bike,Clear,Medium,Express,29.0,53,100.3,382.98,4.1,No
S0132,West,Truck,Cloudy,Low,Standard,6.0,45,34.4,213.22,4.7,Yes
S0133,North,Van,Cloudy,Low,Standard,20.0,32,59.0,301.27,5.0,Yes
S0134,East,Van,Clear,Medium,Express,2.2,36,28.1,138.79,5.0,Yes
S0135,East,Van,Clear,High,Standard,12.7,60,77.5,321.06,5.0,No
S0136,West,Truck,Cloudy,Medium,Express,14.1,11,64.0,262.61,4.8,Yes
S0137,East,Van,Clear,Medium,Standard,15.1,63,55.2,309.82,5.0,Yes
S0138,South,Truck,Rainy,Medium,Standard,25.0,21,99.1,387.35,4.2,No
S0139,South,Van,Cloudy,Medium,Standard,14.8,52,58.7,270.73,4.8,Yes
S0140,East,Van,Clear,High,Standard,16.8,55,80.5,295.93,4.4,No
S0141,East,Van,Clear,High,Standard,9.8,26,56.6,,4.8,Yes
S0142,West,Bike,Rainy,Low,Standard,14.3,68,60.5,264.5,4.6,Yes
S0143,South,Van,Clear,Medium,Standard,9.5,34,56.1,218.42,4.7,Yes
S0144,South,Van,Clear,Medium,Standard,4.4,52,31.9,218.68,4.6,Yes
S0145,North,Bike,Rainy,Low,Standard,21.9,52,69.9,333.03,5.0,Yes
S0146,West,Truck,Rainy,Low,Express,24.1,29,83.3,333.51,4.3,No
S0147,North,Van,Rainy,Medium,Express,22.4,38,79.5,324.16,5.0,No
S0148,South,Van,Cloudy,Medium,Express,17.3,42,66.9,271.84,5.0,Yes
S0149,West,Truck,Clear,Low,Express,14.5,21,52.7,274.69,5.0,Yes
S0150,East,Van,Clear,Low,Standard,30.5,42,81.8,446.28,,No
S0151,West,Bike,Cloudy,High,Express,19.1,13,83.7,227.04,4.4,No
S0152,East,Truck,Cloudy,Low,Standard,17.8,64,61.2,400.59,4.6,Yes
S0153,East,Van,Clear,Low,Standard,2.8,17,24.5,172.21,5.0,Yes
S0154,West,Bike,Rainy,Medium,Standard,13.3,9,78.1,190.15,4.7,No
S0155,East,Bike,Clear,High,Standard,14.5,41,68.6,225.84,4.8,Yes
S0156,North,Van,Clear,Low,Express,15.2,1,44.9,177.88,4.9,Yes
S0157,South,Van,Clear,Medium,Standard,21.1,2,79.6,251.8,4.6,No
S0158,East,Van,Clear,High,Standard,19.6,60,85.7,333.45,4.3,No
S0159,North,Truck,Clear,Low,Standard,22.1,48,80.6,357.71,4.4,No
S0160,East,Van,Clear,Medium,Express,27.2,29,76.1,354.62,5.0,No
S0161,South,Bike,Clear,Medium,Standard,28.8,10,79.7,298.72,4.6,No
S0162,North,Bike,Cloudy,Medium,Standard,25.7,58,91.4,390.38,4.8,No
S0163,South,Bike,Cloudy,Medium,Standard,33.5,60,108.9,413.76,4.4,No
S0164,South,Van,Cloudy,Medium,Express,2.6,21,42.0,144.2,5.0,Yes
S0165,North,Bike,Rainy,Low,Standard,8.5,28,60.2,150.09,4.8,Yes
S0166,North,Van,Clear,High,Standard,2.2,75,49.4,250.06,5.0,Yes
S0167,North,Van,Clear,Medium,Standard,23.4,34,82.5,325.91,4.5,No
S0168,West,Truck,Rainy,Low,Standard,31.6,8,102.0,368.75,4.2,No
S0169,North,Bike,Clear,Low,Standard,10.0,59,34.5,230.93,5.0,Yes
S0170,North,Truck,Rainy,Medium,Standard,32.6,72,116.3,523.21,3.5,No
S0171,North,Bike,Clear,Medium,Express,4.0,49,42.3,170.31,4.9,Yes
S0172,North,Truck,Rainy,Low,Standard,32.8,79,110.5,550.52,2.7,No
S0173,East,Bike,Clear,Medium,Standard,13.6,17,66.4,155.44,5.0,Yes
S0174,West,Van,Rainy,Low,Express,5.3,60,33.1,213.55,4.7,Yes
S0175,South,Van,Clear,Medium,Standard,18.0,45,63.9,317.8,4.9,Yes
S0176,North,Bike,Rainy,Low,Standard,10.5,69,59.4,238.69,4.7,Yes
S0177,East,Bike,Clear,Medium,Standard,11.4,32,52.1,198.61,4.9,Yes
S0178,East,Van,Cloudy,Medium,Standard,12.1,44,53.8,207.61,5.0,Yes
S0179,East,Van,Rainy,High,Express,28.5,65,109.9,479.32,4.3,No
S0180,South,Van,Clear,Low,Standard,19.8,8,64.9,247.41,5.0,Yes
S0181,North,Van,Cloudy,Medium,Express,12.3,77,51.4,340.88,5.0,Yes
S0182,West,Van,,Low,Standard,22.1,72,60.3,379.66,4.9,Yes
S0183,West,Bike,Clear,High,Standard,25.6,43,93.6,335.49,4.2,No
S0184,East,Bike,Cloudy,High,Standard,11.0,1,73.5,164.64,5.0,Yes
S0185,South,Bike,Cloudy,Low,Standard,15.6,51,60.1,284.92,5.0,Yes
S0186,South,Truck,Rainy,Medium,Standard,6.0,24,61.3,212.11,5.0,Yes
S0187,South,Van,Clear,High,Express,8.0,24,56.4,184.49,4.8,Yes
S0188,West,Van,Clear,Medium,Standard,24.5,17,79.5,326.67,5.0,No
S0189,East,Van,Rainy,Medium,Express,8.0,5,53.7,199.66,5.0,Yes
S0190,North,Truck,Rainy,Low,Standard,19.3,20,77.2,319.25,5.0,No
S0191,West,Bike,Clear,Low,Express,25.4,21,78.4,325.14,4.9,No
S0192,East,Van,Cloudy,High,Express,5.5,58,61.6,223.57,4.6,Yes
S0193,East,Van,Clear,High,Express,20.7,31,71.1,320.44,5.0,Yes
S0194,North,Van,Clear,Medium,Express,10.5,11,43.3,205.82,4.4,Yes
S0195,North,Bike,Clear,Medium,Express,33.8,52,98.2,400.8,4.1,No
S0196,North,Truck,Clear,Medium,Standard,18.0,15,70.9,281.06,4.7,Yes
S0197,South,Truck,Cloudy,Medium,Standard,28.6,7,111.6,389.31,3.3,No
S0198,North,Van,Clear,High,Standard,20.2,28,85.0,281.37,4.1,No
S0199,East,Van,Rainy,High,Express,3.4,51,49.5,181.11,5.0,Yes
S0200,North,Truck,Rainy,High,Standard,22.9,58,112.3,398.92,3.8,No
S0201,East,Van,Cloudy,Medium,Express,33.4,5,99.0,345.49,4.2,No
S0202,West,Bike,Clear,Low,Standard,21.9,5,70.1,246.33,5.0,Yes
S0203,South,Van,Clear,Low,Standard,29.0,8,91.6,336.7,4.0,No
S0204,West,Van,Rainy,High,Standard,31.2,64,121.0,459.11,3.3,No
S0205,West,Van,Cloudy,Medium,Standard,9.5,10,49.8,182.43,5.0,Yes
S0206,East,Van,Clear,Low,Standard,9.0,38,23.2,208.52,5.0,Yes
S0207,West,Truck,Rainy,Low,Standard,22.2,8,82.5,330.94,4.2,No
S0208,East,Truck,Rainy,Medium,Standard,15.6,25,88.9,318.45,4.0,No
S0209,North,Van,Rainy,Low,Standard,29.7,73,91.7,460.69,4.7,No
S0210,North,Bike,Cloudy,Low,Standard,31.7,66,76.9,426.39,4.6,No
S0211,East,Truck,Cloudy,Medium,Standard,13.7,79,64.3,361.46,4.9,Yes
S0212,North,Truck,Clear,Medium,Express,9.8,50,57.5,297.64,5.0,Yes
S0213,South,Bike,Rainy,Medium,Standard,27.8,67,106.2,371.6,4.8,No
S0214,West,Truck,Rainy,Low,Standard,11.1,49,54.4,301.52,5.0,Yes
S0215,South,Truck,Clear,Medium,Standard,29.1,36,92.2,389.79,4.4,No
S0216,West,Van,Clear,Low,Standard,16.0,68,48.7,297.75,4.9,Yes
S0217,North,Van,Clear,Medium,Standard,24.0,78,73.8,408.58,5.0,Yes
S0218,South,Van,Rainy,Medium,Standard,5.2,41,36.7,184.43,5.0,Yes
S0219,North,Bike,Rainy,Medium,Standard,22.6,62,96.8,339.54,3.9,No
S0220,West,Bike,Clear,High,Standard,16.9,10,89.3,195.5,4.5,No
S0221,East,Truck,Cloudy,Medium,Standard,21.4,21,73.3,334.6,5.0,Yes
S0222,East,Bike,Clear,Medium,Express,7.5,36,51.5,181.97,5.0,Yes
S0223,South,Bike,Rainy,Low,Express,26.3,12,83.5,267.73,4.3,No
S0224,North,Van,Rainy,Medium,Standard,30.5,2,112.6,323.21,3.4,No
S0225,North,Van,Rainy,Low,Standard,9.2,13,49.6,206.1,4.4,Yes
S0226,South,Truck,Clear,Low,Standard,5.2,53,36.9,262.06,5.0,Yes
S0227,East,Bike,Clear,High,Standard,2.8,32,53.5,121.42,5.0,Yes
S0228,West,Bike,Clear,Medium,Express,23.2,16,70.2,261.05,5.0,Yes
S0229,South,Van,Clear,High,Standard,22.0,32,95.6,310.37,4.5,No
S0230,West,Van,Rainy,Medium,Standard,20.0,32,74.2,283.41,5.0,Yes
S0231,East,Bike,Rainy,High,Standard,9.7,11,74.6,122.44,5.0,Yes
S0232,North,Van,Rainy,Medium,Standard,14.9,10,75.0,201.93,5.0,Yes
S0233,East,Bike,Rainy,Medium,Standard,21.6,15,85.8,262.26,4.2,No
S0234,South,Bike,Cloudy,Medium,Standard,18.4,17,80.1,210.2,4.5,No
S0235,North,Van,Cloudy,Low,Standard,34.6,40,104.3,425.7,4.2,No
S0236,South,Van,Rainy,Medium,Standard,6.5,18,60.7,178.41,5.0,Yes
S0237,South,Truck,Rainy,Low,Standard,24.9,55,75.7,417.63,4.7,No
S0238,East,Van,Clear,Low,Standard,15.3,73,51.0,346.47,4.7,Yes
S0239,South,Van,Clear,Medium,Standard,16.1,25,69.0,222.98,5.0,Yes
S0240,East,Van,Clear,Low,Standard,25.7,59,62.8,389.15,5.0,Yes
S0241,North,Bike,Rainy,High,Standard,24.9,78,114.4,386.18,3.8,No
S0242,East,Van,,High,Standard,34.7,22,122.5,397.66,3.6,No
S0243,North,Bike,Clear,High,Standard,6.2,30,49.5,115.54,4.4,Yes
S0244,East,Truck,Cloudy,Medium,Standard,5.4,44,56.2,271.46,5.0,Yes
S0245,West,Bike,Cloudy,Low,Express,25.9,32,77.3,292.71,5.0,No
S0246,West,Van,Clear,High,Standard,21.1,51,89.9,347.3,4.2,No
S0247,South,Bike,Clear,Medium,Standard,11.0,46,48.3,215.96,4.8,Yes
S0248,East,Truck,Cloudy,High,Standard,4.6,21,62.7,219.67,5.0,Yes
S0249,East,Van,Clear,High,Standard,4.8,32,39.1,219.75,5.0,Yes
S0250,North,Van,Cloudy,High,Standard,31.5,39,95.2,376.39,4.4,No
S0251,South,Bike,Clear,Low,Standard,8.3,12,40.4,120.02,5.0,Yes
S0252,East,Van,Rainy,Medium,Express,12.7,47,69.4,269.98,4.7,Yes
S0253,South,Bike,Cloudy,High,Standard,9.5,18,70.7,131.29,5.0,Yes
S0254,West,Truck,Cloudy,Medium,Standard,13.7,21,67.3,288.04,5.0,Yes
S0255,East,Bike,Rainy,Low,Standard,4.3,13,41.7,119.67,5.0,Yes
S0256,East,Bike,Clear,Medium,Express,19.1,21,60.5,246.79,5.0,Yes
S0257,South,Bike,Clear,High,Standard,4.2,8,52.3,97.73,4.9,Yes
S0258,East,Van,Clear,Medium,Express,28.4,46,85.6,417.39,4.4,No
S0259,South,Van,Cloudy,Medium,Standard,9.7,7,49.3,147.09,5.0,Yes
S0260,East,Bike,,Low,Express,19.8,23,67.8,246.11,5.0,Yes
S0261,North,Van,Cloudy,Medium,Standard,31.0,75,98.5,448.22,4.1,No
S0262,South,Van,Clear,High,Express,23.5,22,87.6,325.4,,No
S0263,East,Van,Clear,Low,Standard,19.6,22,65.4,239.73,4.7,Yes
S0264,West,Van,Clear,Medium,Express,12.7,29,46.0,233.24,4.7,Yes
S0265,East,Van,Clear,High,Standard,13.0,13,72.9,214.1,5.0,Yes
S0266,West,Van,Cloudy,Medium,Standard,24.1,2,79.9,257.45,5.0,No
S0267,West,Bike,Clear,Medium,Standard,34.8,29,107.5,,4.1,No
S0268,North,Bike,Clear,Medium,Express,23.8,79,72.5,377.91,5.0,Yes
S0269,South,Truck,Rainy,Medium,Standard,20.4,52,83.5,400.9,4.6,No
S0270,East,Truck,Clear,Low,Standard,26.1,27,80.5,361.74,4.8,No
S0271,North,Van,Clear,High,Standard,17.4,50,64.3,292.03,5.0,Yes
S0272,East,Bike,Cloudy,High,Standard,4.0,79,55.3,241.71,4.8,Yes
S0273,West,Van,Clear,High,Express,20.6,23,68.0,280.74,4.7,Yes
S0274,South,Van,Cloudy,High,Standard,33.6,44,121.0,412.45,3.3,No
S0275,East,Bike,Rainy,Medium,Express,7.8,77,62.7,260.57,5.0,Yes
S0276,East,Bike,Rainy,Medium,Standard,24.8,22,90.0,273.24,3.9,No
S0277,West,Van,Clear,High,Standard,8.6,43,62.1,246.75,5.0,Yes
S0278,East,Van,Rainy,Medium,Express,19.7,37,82.7,290.93,4.1,No
S0279,East,Bike,Clear,Medium,Standard,5.2,61,49.2,193.21,4.8,Yes
S0280,West,Bike,Clear,High,Standard,16.9,56,82.0,299.9,4.3,No
S0281,North,Bike,Clear,High,Standard,27.0,3,106.8,261.87,4.1,No
S0282,West,Van,Rainy,Medium,Standard,13.5,63,63.8,316.52,5.0,Yes
S0283,North,Bike,Clear,Medium,Standard,23.9,19,82.8,269.09,4.8,No
S0284,South,Bike,Clear,Low,Express,28.2,23,73.0,351.63,4.8,Yes
S0285,North,Van,Cloudy,Medium,Express,32.6,29,90.3,424.38,4.2,No
S0286,North,Bike,Clear,Low,Standard,9.7,30,42.6,150.04,5.0,Yes
S0287,South,Van,Clear,Medium,Standard,15.2,39,62.4,282.24,5.0,Yes
S0288,North,Bike,Clear,Medium,Standard,7.0,25,54.8,129.67,5.0,Yes
S0289,West,Bike,Clear,Low,Standard,34.8,8,96.9,341.63,4.6,No
S0290,North,Bike,Clear,Medium,Standard,32.6,58,105.0,411.57,4.6,No
S0291,South,Van,Clear,Low,Standard,19.8,16,64.2,246.09,4.7,Yes
S0292,West,Truck,Cloudy,Low,Standard,29.8,72,110.4,514.17,3.7,No
S0293,South,Truck,Clear,High,Express,19.2,1,70.6,284.47,5.0,Yes
S0294,South,Van,Clear,Medium,Express,22.6,5,65.6,264.11,4.9,Yes
S0295,East,Van,Rainy,Low,Express,4.9,3,45.6,115.84,4.9,Yes
S0296,East,Bike,Clear,Medium,Standard,26.9,65,86.0,380.0,4.2,No
S0297,South,Bike,Cloudy,High,Standard,6.2,4,68.2,109.96,4.9,Yes
S0298,South,Truck,Clear,Low,Standard,29.3,64,88.1,472.1,3.9,No
S0299,South,Bike,Clear,Medium,Express,27.8,10,100.1,228.75,4.0,No
S0300,East,Bike,Clear,Low,Standard,25.4,21,67.5,286.34,5.0,Yes
